id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.20,0.03
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.80,0.10,0.02
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.30,0.40,0.02
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.85,0.08,0.01
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.10,0.15,0.04
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.05,0.01
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,0.35,0.05
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.65,0.12,0.02
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.08,0.01
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.15,0.20,0.03
11,Drop The Bass,SynthWave Kings,electronic,energetic,0.95,138,0.88,0.92,0.08,0.90,0.05,0.01
12,Hood Cipher,MC Flow,hip-hop,focused,0.70,105,0.62,0.78,0.35,0.15,0.10,0.65
13,Open Road,Dusty Boots,country,nostalgic,0.58,96,0.75,0.65,0.82,0.20,0.45,0.08
14,Forest Walk,Woodland Tales,folk,melancholic,0.32,68,0.48,0.42,0.88,0.40,0.30,0.06
15,Metal Fury,Thunderstrike,metal,intense,0.97,160,0.35,0.71,0.05,0.25,0.50,0.03
16,Island Breeze,Reggae Riddim,reggae,playful,0.72,100,0.80,0.76,0.64,0.35,0.25,0.05
17,Velvet Serenade,Smooth Soul,soul,romantic,0.60,88,0.82,0.68,0.58,0.05,0.15,0.15
18,Midnight Blues,Blues Traveler,blues,sad,0.45,85,0.42,0.51,0.85,0.30,0.40,0.08
